id,ag_name,ag_cat,school,state
BE-15586,Astronomie,Naturwissenschaft / Technik,04A06,BE
BE-15586,Astrophysik,Naturwissenschaft / Technik,04A06,BE
BE-15586,Literatur,Literatur / Medien,04A06,BE
BE-15586,Bildende Kunst,Kunst / Kultur,04A06,BE
BE-15590,Rudern,Sport,04P11,BE
BE-15591,Badminton,Sport,06G01,BE
BE-15591,Chor,Musik / Tanz,06G01,BE
BE-15591,Computer,Naturwissenschaft / Technik,06G01,BE
BE-15591,Fitness,Sport,06G01,BE
BE-15591,Elektronik,Naturwissenschaft / Technik,06G01,BE
BE-15591,Judo,Sport,06G01,BE
BE-15591,Leseratten,Literatur / Medien,06G01,BE
BE-15591,Mediation,Gesellschaft / Partizipation,06G01,BE
BE-15591,Theater,Kunst / Kultur,06G01,BE
BE-15591,Werken,Handwerk,06G01,BE
BE-15591,Medienecken,Literatur / Medien,06G01,BE
BE-15592,Sportangebote,Sport,06G02,BE
BE-15593,Zirkus,Kunst / Kultur,06G06,BE
BE-15593,Hockey,Sport,06G06,BE
BE-15593,Fußball,Sport,06G06,BE
BE-15593,Badminton,Sport,06G06,BE
BE-15593,Judo,Sport,06G06,BE
BE-15593,Rugby,Sport,06G06,BE
BE-15593,Tanzen,Musik / Tanz,06G06,BE
BE-15593,Chor,Musik / Tanz,06G06,BE
BE-15593,Töpfern,Handwerk,06G06,BE
BE-15594,Garten,Umwelt,06G07,BE
BE-15594,Chor,Musik / Tanz,06G07,BE
BE-15594,Computer,Naturwissenschaft / Technik,06G07,BE
BE-15594,Capoeira,Musik / Tanz,06G07,BE
BE-15594,Theaterspiel und Kulissenbau,Kunst / Kultur,06G07,BE
BE-15594,Farbtanz,Musik / Tanz,06G07,BE
BE-15594,Dance for Kids,Musik / Tanz,06G07,BE
BE-15594,Schwimmen,Sport,06G07,BE
BE-15594,Hockey,Sport,06G07,BE
BE-15594,Fußball,Sport,06G07,BE
BE-15594,Basketball,Sport,06G07,BE
BE-15594,Judo,Sport,06G07,BE
BE-15594,Tennis,Sport,06G07,BE
BE-15597,Chor,Musik / Tanz,02P12,BE
BE-15597,Schach,Sport,02P12,BE
BE-15597,Badminton,Sport,02P12,BE
BE-15598,Theater,Kunst / Kultur,06K09,BE
BE-15598,Mediation,Gesellschaft / Partizipation,06K09,BE
BE-15598,Schulband,Musik / Tanz,06K09,BE
BE-15598,Russisch,Sprachen,06K09,BE
BE-15599,Basketball,Sport,06Y01,BE
BE-15599,Fußball,Sport,06Y01,BE
BE-15599,Geräteturnen,Sport,06Y01,BE
BE-15599,Aerobic,Sport,06Y01,BE
BE-15599,Rudern,Sport,06Y01,BE
BE-15599,Fotografie,Literatur / Medien,06Y01,BE
BE-15599,Theater,Kunst / Kultur,06Y01,BE
BE-15599,Griechisch,Sprachen,06Y01,BE
BE-15599,Italienisch,Sprachen,06Y01,BE
BE-15599,Russisch,Sprachen,06Y01,BE
BE-15599,DELF-Diplom,Sprachen,06Y01,BE
BE-15599,Schulhof-AG,Gesellschaft / Partizipation,06Y01,BE
BE-15599,Mediation,Gesellschaft / Partizipation,06Y01,BE
BE-15599,Homepage,Naturwissenschaft / Technik,06Y01,BE
BE-15599,Jazzband,Musik / Tanz,06Y01,BE
BE-15599,Chor,Musik / Tanz,06Y01,BE
BE-15599,Orchester,Musik / Tanz,06Y01,BE
BE-15600,DELF-Diplom,Sprachen,06Y02,BE
BE-15600,Instrumentalunterricht,Musik / Tanz,06Y02,BE
BE-15600,Blechbläser,Musik / Tanz,06Y02,BE
BE-15600,Bläserensemble,Musik / Tanz,06Y02,BE
BE-15600,Orchester,Musik / Tanz,06Y02,BE
BE-15600,Chor,Musik / Tanz,06Y02,BE
BE-15600,Film-Musik,Musik / Tanz,06Y02,BE
BE-15600,Darstellendes Spiel,Kunst / Kultur,06Y02,BE
BE-15600,Politik,Gesellschaft / Partizipation,06Y02,BE
BE-15600,Basketball,Sport,06Y02,BE
BE-15600,Volleyball,Sport,06Y02,BE
BE-15600,Rudern,Sport,06Y02,BE
BE-15600,Russisch,Sprachen,06Y02,BE
BE-15600,Foto,Kunst / Kultur,06Y02,BE
BE-15600,Klima,Umwelt,06Y02,BE
BE-15600,Werken,Handwerk,06Y02,BE
BE-15600,Filmabende,Literatur / Medien,06Y02,BE
BE-15601,Instrumentalunterricht,Musik / Tanz,06Y03,BE
BE-15601,Orchester,Musik / Tanz,06Y03,BE
BE-15601,Chor,Musik / Tanz,06Y03,BE
BE-15601,Tanzen,Musik / Tanz,06Y03,BE
BE-15601,Sport,Sport,06Y03,BE
BE-15601,Rugby,Sport,06Y03,BE
BE-15601,Tennis,Sport,06Y03,BE
BE-15601,Mediation,Gesellschaft / Partizipation,06Y03,BE
BE-15601,Robotics,Naturwissenschaft / Technik,06Y03,BE
BE-15601,Informatik,Naturwissenschaft / Technik,06Y03,BE
BE-15601,Malerei,Kunst / Kultur,06Y03,BE
BE-15601,Bühnentechnik,Naturwissenschaft / Technik,06Y03,BE
BE-15602,Konfliktlotse,Gesellschaft / Partizipation,04S07,BE
BE-15602,Buchbinden,Literatur / Medien,04S07,BE
BE-15602,Kochen,Handwerk,04S07,BE
BE-15602,Ausflüge,Kunst / Kultur,04S07,BE
BE-15602,Schülerzeitung,Literatur / Medien,04S07,BE
BE-15602,Werken,Handwerk,04S07,BE
BE-15602,Tanzen,Musik / Tanz,04S07,BE
BE-15602,Theater,Kunst / Kultur,04S07,BE
BE-15602,Turnen,Sport,04S07,BE
BE-15602,Zaubern,Kunst / Kultur,04S07,BE
BE-15602,Chor,Musik / Tanz,04S07,BE
BE-15602,Musical,Musik / Tanz,04S07,BE
BE-15602,Schach,Sport,04S07,BE
BE-15602,Malen,Kunst / Kultur,04S07,BE
BE-15602,Basketball,Sport,04S07,BE
BE-15603,Konfliktlotse,Gesellschaft / Partizipation,04S07,BE
BE-15603,Buchbinden,Literatur / Medien,04S07,BE
BE-15603,Kochen,Handwerk,04S07,BE
BE-15603,Ausflüge,Kunst / Kultur,04S07,BE
BE-15603,Schülerzeitung,Literatur / Medien,04S07,BE
BE-15603,Werken,Handwerk,04S07,BE
BE-15603,Tanzen,Musik / Tanz,04S07,BE
BE-15603,Theater,Kunst / Kultur,04S07,BE
BE-15603,Turnen,Sport,04S07,BE
BE-15603,Zaubern,Kunst / Kultur,04S07,BE
BE-15603,Chor,Musik / Tanz,04S07,BE
BE-15603,Musical,Musik / Tanz,04S07,BE
BE-15603,Schach,Sport,04S07,BE
BE-15603,Malen,Kunst / Kultur,04S07,BE
BE-15603,Basketball,Sport,04S07,BE
BE-15616,Mathematik,Naturwissenschaft / Technik,06Y04,BE
BE-15616,Basketball,Sport,06Y04,BE
BE-15616,Chor,Musik / Tanz,06Y04,BE
BE-15616,Band,Musik / Tanz,06Y04,BE
BE-15616,Italienisch,Sprachen,06Y04,BE
BE-15616,Japanisch,Sprachen,06Y04,BE
BE-15616,Theater,Kunst / Kultur,06Y04,BE
BE-15616,Schulgarten,Umwelt,06Y04,BE
BE-15616,Wissenschaft,Naturwissenschaft / Technik,06Y04,BE
BE-15616,Praktikumsvorbereitung,Berufsorientierung,06Y04,BE
BE-15616,Kunst und Fremdsprachen,Kunst / Kultur,06Y04,BE
BE-15616,Jugend forscht,Naturwissenschaft / Technik,06Y04,BE
BE-15616,Chemie,Naturwissenschaft / Technik,06Y04,BE
BE-15616,Cambridge Proficiency,Sprachen,06Y04,BE
BE-15617,Chor,Musik / Tanz,06Y05,BE
BE-15617,Orchester,Musik / Tanz,06Y05,BE
BE-15617,Darstellendes Spiel,Kunst / Kultur,06Y05,BE
BE-15617,Chinesisch,Sprachen,06Y05,BE
BE-15617,Russisch,Sprachen,06Y05,BE
BE-15617,HTML,Naturwissenschaft / Technik,06Y05,BE
BE-15617,Chemie-Kids,Naturwissenschaft / Technik,06Y05,BE
BE-15617,Mediation,Gesellschaft / Partizipation,06Y05,BE
BE-15617,Rudern,Sport,06Y05,BE
BE-15617,Fußball,Sport,06Y05,BE
BE-15617,Mini-Marathon,Sport,06Y05,BE
BE-15617,Streichinstrumente,Musik / Tanz,06Y05,BE
BE-15617,Geräteturnen,Sport,06Y05,BE
BE-15617,Schülerzeitung,Literatur / Medien,06Y05,BE
BE-15618,Darstellendes Spiel,Kunst / Kultur,06K01,BE
BE-15618,English Literature,Literatur / Medien,06K01,BE
BE-15618,Schülerzeitung,Literatur / Medien,06K01,BE
BE-15618,Jahrbuch,Literatur / Medien,06K01,BE
BE-15618,Mathematik,Naturwissenschaft / Technik,06K01,BE
BE-15618,Schach,Sport,06K01,BE
BE-15618,Chor,Musik / Tanz,06K01,BE
BE-15618,Gesang,Musik / Tanz,06K01,BE
BE-15618,Orchester,Musik / Tanz,06K01,BE
BE-15618,Philosophie,Gesellschaft / Partizipation,06K01,BE
BE-15618,Badminton,Sport,06K01,BE
BE-15618,Basketball,Sport,06K01,BE
BE-15618,Leichtathletik,Sport,06K01,BE
BE-15618,Lacrosse,Sport,06K01,BE
BE-15618,Volleyball,Sport,06K01,BE
BE-15618,Rudern,Sport,06K01,BE
BE-15619,Schülerzeitung,Literatur / Medien,06K02,BE
BE-15619,Homepage,Naturwissenschaft / Technik,06K02,BE
BE-15619,kreatives Gestalten,Kunst / Kultur,06K02,BE
BE-15619,Mediation,Gesellschaft / Partizipation,06K02,BE
BE-15619,japanisch,Sprachen,06K02,BE
BE-15619,Schule ohne Rassismus - Schule mit Courage,Gesellschaft / Partizipation,06K02,BE
BE-15619,Schulradio,Literatur / Medien,06K02,BE
BE-15619,Veranstaltungstechnik,Naturwissenschaft / Technik,06K02,BE
BE-15619,Rugby,Sport,06K02,BE
BE-15619,Artistik,Musik / Tanz,06K02,BE
BE-15620,Akrobatik,Sport,06S01,BE
BE-15620,Brötchen backen,Handwerk,06S01,BE
BE-15620,Garten,Umwelt,06S01,BE
BE-15620,Holzwerkstatt,Handwerk,06S01,BE
BE-15620,Theater,Kunst / Kultur,06S01,BE
BE-15620,Instrumentenfindung,Musik / Tanz,06S01,BE
BE-15620,Hausaufgaben,Berufsorientierung,06S01,BE
BE-15621,Akrobatik,Sport,06S01,BE
BE-15621,Brötchen backen,Handwerk,06S01,BE
BE-15621,Garten,Umwelt,06S01,BE
BE-15621,Holzwerkstatt,Handwerk,06S01,BE
BE-15621,Theater,Kunst / Kultur,06S01,BE
BE-15621,Instrumentenfindung,Musik / Tanz,06S01,BE
BE-15621,Hausaufgaben,Berufsorientierung,06S01,BE
BE-15626,Mathematik,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Metrische Räume und Anwendungen,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Physik und Jugend forscht,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Training für die Physikolympiade,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Naturwissenschaft,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Physik und Computer,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Physik Fachhelfer,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Chemie,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Tierpflege,Umwelt,02Y03,BE
BE-15626,Schulteich,Umwelt,02Y03,BE
BE-15626,Schlaue Algorithmen für knifflige Probleme,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Server- und Webprogrammierung,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Robotik,Naturwissenschaft / Technik,02Y03,BE
BE-15626,Theater,Kunst / Kultur,02Y03,BE
BE-15626,Philosophie,Gesellschaft / Partizipation,02Y03,BE
BE-15626,Chor,Musik / Tanz,02Y03,BE
BE-15626,Chor,Musik / Tanz,02Y03,BE
BE-15626,Keramik,Handwerk,02Y03,BE
BE-15626,Volleyball,Sport,02Y03,BE
BE-15626,Fitness,Sport,02Y03,BE
BE-15626,Schach,Sport,02Y03,BE
BE-15626,Schülerzeitung,Literatur / Medien,02Y03,BE
BE-15627,Pflanzenkunde,Umwelt,06B01,BE
BE-15627,Blumenbinden,Handwerk,06B01,BE
BE-15627,Fußball,Sport,06B01,BE
BE-15627,Honig,Umwelt,06B01,BE
BE-15628,Pflanzenkunde,Umwelt,06B01,BE
BE-15628,Blumenbinden,Handwerk,06B01,BE
BE-15628,Fußball,Sport,06B01,BE
BE-15628,Honig,Umwelt,06B01,BE
BE-15629,Pflanzenkunde,Umwelt,06B01,BE
BE-15629,Blumenbinden,Handwerk,06B01,BE
BE-15629,Fußball,Sport,06B01,BE
BE-15629,Honig,Umwelt,06B01,BE
BE-15630,Pflanzenkunde,Umwelt,06B01,BE
BE-15630,Blumenbinden,Handwerk,06B01,BE
BE-15630,Fußball,Sport,06B01,BE
BE-15630,Honig,Umwelt,06B01,BE
BE-15631,Pflanzenkunde,Umwelt,06B01,BE
BE-15631,Blumenbinden,Handwerk,06B01,BE
BE-15631,Fußball,Sport,06B01,BE
BE-15631,Honig,Umwelt,06B01,BE
BE-15633,Orchester,Musik / Tanz,06P04,BE
BE-15633,Orchester,Musik / Tanz,06P04,BE
BE-15633,Orchester,Musik / Tanz,06P04,BE
BE-15636,Chor,Musik / Tanz,06P06,BE
BE-15636,Gitarre,Musik / Tanz,06P06,BE
BE-15636,Streicher,Musik / Tanz,06P06,BE
BE-15636,Musical,Musik / Tanz,06P06,BE
BE-15636,Flöten,Musik / Tanz,06P06,BE
BE-15636,Lesen,Literatur / Medien,06P06,BE
BE-15636,Tanzen,Musik / Tanz,06P06,BE
BE-15636,UNESCO,Gesellschaft / Partizipation,06P06,BE
BE-15636,Schach,Sport,06P06,BE
BE-15636,Bauchtanz,Musik / Tanz,06P06,BE
BE-15636,Chemie,Naturwissenschaft / Technik,06P06,BE
BE-15636,Ersthelfer,Gesellschaft / Partizipation,06P06,BE
BE-15636,Mode,Handwerk,06P06,BE
BE-15636,Website,Naturwissenschaft / Technik,06P06,BE
BE-15636,Schulgarten,Umwelt,06P06,BE
BE-15636,Cafeteria,Gesellschaft / Partizipation,06P06,BE
BE-15636,Yoga,Sport,06P06,BE
BE-15636,Rudern,Sport,06P06,BE
BE-15636,Fußball,Sport,06P06,BE
BE-15636,Turnen,Sport,06P06,BE
BE-15636,Golf,Sport,06P06,BE
BE-15639,Arts & Crafts,Handwerk,01P22,BE
BE-15639,Ballett,Sport,01P22,BE
BE-15639,Basketball,Sport,01P22,BE
BE-15639,Schach,Sport,01P22,BE
BE-15639,Kochen,Handwerk,01P22,BE
BE-15639,Digitale Animation,Kunst / Kultur,01P22,BE
BE-15639,Digitale Fotografie,Kunst / Kultur,01P22,BE
BE-15639,Theater,Kunst / Kultur,01P22,BE
BE-15639,Chinesisch,Sprachen,01P22,BE
BE-15639,Chor,Musik / Tanz,01P22,BE
BE-15639,Gitarrenunterricht,Musik / Tanz,01P22,BE
BE-15639,Orchester,Musik / Tanz,01P22,BE
BE-15639,Elektronische Musik,Musik / Tanz,01P22,BE
BE-15639,Mode,Handwerk,01P22,BE
BE-15639,Französisch,Sprachen,01P22,BE
BE-15639,Fußball,Sport,01P22,BE
BE-15639,Lego City,Naturwissenschaft / Technik,01P22,BE
BE-15639,Modern Dance,Musik / Tanz,01P22,BE
BE-15639,Robotics,Naturwissenschaft / Technik,01P22,BE
BE-15639,Rockband,Musik / Tanz,01P22,BE
BE-15639,Spanisch,Sprachen,01P22,BE
BE-15639,Taekwondo,Sport,01P22,BE
BE-15639,Yoga,Sport,01P22,BE
BE-15639,Holzwerkstatt,Handwerk,01P22,BE
BE-15640,Arts & Crafts,Handwerk,01P22,BE
BE-15640,Ballett,Sport,01P22,BE
BE-15640,Basketball,Sport,01P22,BE
BE-15640,Schach,Sport,01P22,BE
BE-15640,Kochen,Handwerk,01P22,BE
BE-15640,Digitale Animation,Kunst / Kultur,01P22,BE
BE-15640,Digitale Fotografie,Kunst / Kultur,01P22,BE
BE-15640,Theater,Kunst / Kultur,01P22,BE
BE-15640,Chinesisch,Sprachen,01P22,BE
BE-15640,Chor,Musik / Tanz,01P22,BE
BE-15640,Gitarrenunterricht,Musik / Tanz,01P22,BE
BE-15640,Orchester,Musik / Tanz,01P22,BE
BE-15640,Elektronische Musik,Musik / Tanz,01P22,BE
BE-15640,Mode,Handwerk,01P22,BE
BE-15640,Französisch,Sprachen,01P22,BE
BE-15640,Fußball,Sport,01P22,BE
BE-15640,Lego City,Naturwissenschaft / Technik,01P22,BE
BE-15640,Modern Dance,Musik / Tanz,01P22,BE
BE-15640,Robotics,Naturwissenschaft / Technik,01P22,BE
BE-15640,Rockband,Musik / Tanz,01P22,BE
BE-15640,Spanisch,Sprachen,01P22,BE
BE-15640,Taekwondo,Sport,01P22,BE
BE-15640,Yoga,Sport,01P22,BE
BE-15640,Holzwerkstatt,Handwerk,01P22,BE
BE-15643,Chor,Musik / Tanz,07G17,BE
BE-15643,Tanzen,Musik / Tanz,07G17,BE
BE-15643,Blockflötenensemble,Musik / Tanz,07G17,BE
BE-15643,Querflötenensemble,Musik / Tanz,07G17,BE
BE-15643,Tanztheater,Kunst / Kultur,07G17,BE
BE-15643,Keyboard,Musik / Tanz,07G17,BE
BE-15643,Instrumental-AG,Musik / Tanz,07G17,BE
